term,category
ଅଖା,Generic
ଅଖାଟା,Generic
ଅଗାଡି,Generic
ଅଗାଡ଼ି,Generic
ଅଗ୍ରଣି,Generic
ଅଙ୍କିତ,Generic
ଅଛନ୍ତି,Generic
ଅଛି,Generic
ଅଛି,Generic
ଆଛା,Generic
ଅଞ୍ଜଳି,Generic
ଅଡ଼େଇ,Generic
ଅଡେଇସ,Generic
ଅଢେଇଶକୁ,Generic
ଅଣ,Generic
ଅଣଜଳସେଚିତ,Agri Practice
ଅଣା,Generic
ଅଣ୍ଡା,Generic
ଅତି,Generic
ଅତିକମରେ,Generic
ଅଦା,Crop
ଅଦାଚାଷ,Agri Practice
ଅଦାର,Generic
ଅଦାରୁ,Crop
ଅଦାରେ,Crop
ଅଧ,Generic
ଅଧକେଜି,Generic
ଅଧକେଜିଏ,Generic
ଅଧା,Numeral
ଅଧିକ,Generic
ଅଧିକା,Generic
ଅନବାନ,Generic
ଅନାବନା,Agri Practice
ଅନିଷ୍ଟ,Generic
ଅନୁମାନ,Generic
ଅନୁମାନି,Generic
ଅନୁମାନିକ,Generic
ଅନୁଯାଇ,Generic
ଅନୁଷ୍ଟାନ,Generic
ଅନୁଷ୍ଠାନର,Generic
ଅନୁଷ୍ଠାନରୁ,Generic
ଅନୁସାରେ,Generic
ଅନ୍ତତଃ,Generic
ଅନ୍ୟ,Generic
ଅନ୍ୟମାନଙ୍କର,Generic
ଅନ୍ୟାନ,Generic
ଅନ୍ୟାନତଃ,Generic
ଅପଣଙ୍କ,Generic
ଅପଣଙ୍କର,Generic
ଅଫିସ,Generic
ଅବଶେକ,Generic
ଅବସ୍ତାରେ,Generic
ଅବସ୍ଥା,Generic
ଅବସ୍ଥାରେ,Generic
ଅମଳ,Crop
ଅମୃତଭଣ୍ଡା,Soil Nutrient/Fertiliser
ଅମୃତଭଣ୍ଡାରେ,Generic
ଅରୁଆ,Crop
ଅଲଗା,Generic
ଅଲ୍ପ,Generic
ଅଶି,Generic
ଅଶେକ,Generic
ଅସନା,Generic
ଅସିତ,Generic
ଅସୁବିଧା,Generic
ଅଢ଼େଇଶ,Generic
ଆ,Generic
ଆଇ.ର,Generic
ଆଇଁଲେ,Generic
ଆଉ,Generic
ଆଉଛି,Generic
ଆଉର,Generic
ଆଉରି,Generic
ଆକଚୁଆଲି,Generic
ଆକାର,Generic
ଆକାରେ,Generic
ଆକୁ,Generic
ଆକ୍ଯୁରେଟ,Generic
ଆଗକୁ,Generic
ଆଙ୍ଗୁଠି,Generic
ଆଛା,Generic
ଆଛା,Generic
ଆଛା,Generic
ଆଛା,Agri Practice
ବାମ୍ଫରେ,Generic
ଆଜାଡିରାକ୍ଟିନ୍,Chemical Name
ଆଜାଦିରାଚ୍ଟିନ୍,Chemical Name
ଆଜି,Generic
ଆଜିକୁ,Generic
ଆଜୋଟୋବ୍ୟାକ୍ଟର୍,Soil Nutrient/Fertiliser
ଆଜ୍ଞା,Generic
ଆଞ୍ଜୁଳା,Generic
ଆଠ,Numeral
ଆଠଟି,Numeral
ଆଠଶହ,Numeral
ଆଣି,Generic
ଆଣିକି,Generic
ଆଣିକିରି,Variety
ଆଣିଚୁ,Generic
ଆଣିଛନ୍ତି,Generic
ଆଣିଛି,Generic
ଆଣିଥିଲ,Generic
ଆଣିଥିଲା,Generic
ଆଣିଥିଲି,Generic
ଆଣିଥିଲେ,Generic
ଆଣିବାକୁ,Generic
ଆଣିଲ,Generic
ଆଣିଲାପରେ,Generic
ଆଣିଲେ,Generic
ଆଣ୍ଡ,Generic
ଆତ,Generic
ଆତ୍ମା,Generic
ଆଦ୍ରତା,Generic
ଆନୁମାନେ,Generic
ଆପଣ,Generic
ଆପଣକର,Generic
ଆପଣଙ୍କ,Generic
ଆପଣଙ୍କଠୁ,Generic
ଆପଣଙ୍କର,Generic
ଆପଣଙ୍କୁ,Generic
ଆପଣତ,Generic
ଆପଣମାନଙ୍କ,Generic
ଆପଣମାନଙ୍କୁ,Generic
ଆପଣମାନେ,Generic
ଆପଣାକୁ,Generic
ଆପରେ,Generic
ଆପେ,Generic
ଆବଶେକ,Generic
ଆବଶ୍ୟକ,Generic
ଆମ,Crop
ଆମକୁ,Generic
ଆମଦାନ,Generic
ଆମର,Generic
ଆମେ,Generic
ଆର,Crop
ଆର.ସି,Generic
ଆରମ୍ବ,Generic
ଆରମ୍ଭ,Generic
ଆଲୁଅ,Crop
ଆଲୁମିନିଅମ୍,Chemical Name
ଆଲୋକ,Generic
ଆଲୋଚନ,Generic
ଆଲୋଚନା,Generic
ଆଳୁ,Crop
ଆଷାଢ଼,Month Name
ଆସ,Generic
ଆସନ୍ତୁ,Generic
ଆସି,Generic
ଆସିକି,Generic
ଆସିଗଲେଣି,Generic
ଆସିଚୁ,Generic
ଆସିଛନ୍ତି,Generic
ଆସିଛି,Generic
ଆସିଥିବ,Generic
ଆସିଥିଲେ,Generic
ଫିଲଡ,Agriculture unit
ଆସିପାରିବ,Generic
ଆସିବ,Generic
ଆସିବା,Generic
ଆସିବାର,Generic
ଆସିଯାଏ,Generic
ଆସିଲା,Generic
ଆସିଲାପରେ,Generic
ଆସିଲେ,Generic
ଆସିଲେଣି,Generic
ଆସୁଛି,Generic
ଆସୁଥିବ,Generic
ଆସୁନିକି,Generic
ଆସେନାହିଁ,Generic
ଆସେନି,Generic
