term,category
अ,Generic
अंकुरित,Generic
अंकुरी,Generic
अंडा,Generic
अंडे,Generic
अंत,Generic
अंतर,Generic
अंतिम,Generic
अंदर,Generic
अंदर,Generic
अंदाज,Generic
अइनी,Generic
अइला,Generic
अईसही,Generic
अकटि,Generic
अकेला,Generic
अक्टूबर,Generic
अक्ति,Generic
अगर,Generic
अगरने,Generic
अगला,Generic
अगले,Generic
अगस्त,Generic
अगेंस्ट,Generic
अग्निअस्त्र,Generic
अग्नियास्त्र,Generic
अग्रणी,Generic
अच्चा,Generic
अच्छ,Generic
अच्छा,Generic
अच्छा,Generic
अच्छी,Generic
अच्छे,Generic
अछा,Generic
अछि,Generic
अजी,Generic
अटकी,Variety
अटराजीन,Generic
अट्ठाइस,Numeral
अट्ठारह,Numeral
अट्ठावन,Numeral
अठाइस,Numeral
अठारा,Numeral
अड़रिड़ा,Generic
अड़हर,Generic
अड़हाइ,Numeral
अड़हुल,Generic
अढ़हुल,Agriculture unit
अणि,Generic
अण्डवा,Generic
अण्डा,Generic
अतरौली,Generic
अति,Generic
अति,Generic
अतोपुर,Generic
अत्ता,Generic
अत्तोपुर,Generic
अथि,Generic
अथी,Generic
अदरत,Generic
अदि,Generic
अद्रत,Generic
अधिक,Generic
अधिकी,Generic
अधितम,Generic
अध्यक्ष,Generic
अनफ़िल,Generic
अनाज,Generic
अनार,Crop
अनियन,Crop
अनिवार्य,Generic
अनुकूल,Generic
अनुदान,Generic
अनुदान,Generic
अनुमानित,Generic
अनुमान,Generic
अनुशंसित,Generic
अनुसन्धान,Generic
अनुसार,Generic
अनुसूत्र,Generic
अनूप,Variety
अन्न,Generic
अन्य,Generic
अपना,Generic
अपनाइ,Generic
अपनाए,Generic
अपनाय,Generic
अपनाया,Generic
अपनी,Generic
अपने,Generic
अप्रैल,Generic
अप्लाई,Generic
अब,Generic
अबकी,Generic
अबतापुर,Generic
अबतोपुर,Generic
अबरी,Crop
अबसक,Generic
अबा,Generic
अबूर,Crop
अब्स्था,Generic
अभ,Generic
अभी,Generic
अभी।,Generic
