_id,uid,model,error_type,ref_word,hyp_word,start_time,end_time,clip_path
e53a1625,78d17284-f5b2-4341-ba32-a0bd70f7593c,google,sub,వరి,నేల,0.1,1.2,wav_files/telugu/78d17284-f5b2-4341-ba32-a0bd70f7593c_16000.wav
af2438e4,78d17284-f5b2-4341-ba32-a0bd70f7593c,google,sub,పొలం,వైపు,1.2,2.1,wav_files/telugu/78d17284-f5b2-4341-ba32-a0bd70f7593c_16000.wav
5b2d3264,78d17284-f5b2-4341-ba32-a0bd70f7593c,google,sub,లోని,రంలోని,2.1,2.6,wav_files/telugu/78d17284-f5b2-4341-ba32-a0bd70f7593c_16000.wav
b5e64627,78d17284-f5b2-4341-ba32-a0bd70f7593c,google,sub,చేసి,చెయ్,4.0,4.6,wav_files/telugu/78d17284-f5b2-4341-ba32-a0bd70f7593c_16000.wav
73089bb7,2ebc2eec-e128-485e-80bb-937e4355e175,google,sub,తెలపండి.,తెలపండి,4.1,4.3,wav_files/telugu/2ebc2eec-e128-485e-80bb-937e4355e175_16000.wav
5f4ad584,9dd4a07b-9418-4150-ab7c-f438c733ebc7,google,sub,ఉంది.,ఉంది,4.2,4.3,wav_files/telugu/9dd4a07b-9418-4150-ab7c-f438c733ebc7_16000.wav
48e79d2b,dd789bc6-2878-4955-b5f1-805ee56af01b,google,ins,,benfo,0.0,2.0,wav_files/telugu/dd789bc6-2878-4955-b5f1-805ee56af01b_16000.wav
259b0bab,dd789bc6-2878-4955-b5f1-805ee56af01b,google,sub,బెనివో,ఏం,2.0,2.5,wav_files/telugu/dd789bc6-2878-4955-b5f1-805ee56af01b_16000.wav
da3d13f1,dd789bc6-2878-4955-b5f1-805ee56af01b,google,sub,ఎం,పని,2.5,2.7,wav_files/telugu/dd789bc6-2878-4955-b5f1-805ee56af01b_16000.wav
fbbab4e5,dd789bc6-2878-4955-b5f1-805ee56af01b,google,sub,పనిచేస్తుంది.,చేస్తుంది,2.7,3.3,wav_files/telugu/dd789bc6-2878-4955-b5f1-805ee56af01b_16000.wav
0cd32103,250afeff-30cc-4498-ae6e-2a4138bcb1e8,google,sub,ఉంది.,ఉంది,2.4,2.5,wav_files/telugu/250afeff-30cc-4498-ae6e-2a4138bcb1e8_16000.wav
f91baf7c,885ab325-ee56-4a97-880b-0ffe0fba20d6,google,sub,ధర,దొర,1.7,2.0,wav_files/telugu/885ab325-ee56-4a97-880b-0ffe0fba20d6_16000.wav
be018f59,bd73663e-5755-4405-a384-e8a41f4bcb99,google,ins,,పొలం,1.0,1.8,wav_files/telugu/bd73663e-5755-4405-a384-e8a41f4bcb99_16000.wav
558c3786,bd73663e-5755-4405-a384-e8a41f4bcb99,google,sub,పొలంలో,లో,1.8,2.0,wav_files/telugu/bd73663e-5755-4405-a384-e8a41f4bcb99_16000.wav
ff774a79,bd73663e-5755-4405-a384-e8a41f4bcb99,google,sub,వాడాలి?,వాడాలి,3.8,4.8,wav_files/telugu/bd73663e-5755-4405-a384-e8a41f4bcb99_16000.wav
113b7205,04e1428c-a333-490b-82d4-3e73ed69a500,google,ins,,పట్టేసే,1.6,2.4,wav_files/telugu/04e1428c-a333-490b-82d4-3e73ed69a500_16000.wav
bbdff07c,04e1428c-a333-490b-82d4-3e73ed69a500,google,sub,పట్టేసాయి.,హాయ్,5.6,7.0,wav_files/telugu/04e1428c-a333-490b-82d4-3e73ed69a500_16000.wav
925735c6,8eb4fbd1-ef6e-4201-b058-e10acab209c6,google,sub,ఉంది.,ఉంది,2.8,3.7,wav_files/telugu/8eb4fbd1-ef6e-4201-b058-e10acab209c6_16000.wav
6e02dabb,7563a30e-e458-46c9-a184-00d7725d4a22,google,sub,నల్లి.,నల్లి,2.2,2.6,wav_files/telugu/7563a30e-e458-46c9-a184-00d7725d4a22_16000.wav
ab8dd851,b99f90cc-622c-479c-98c8-e0158bf120e0,google,ins,,తోట,0.0,2.0,wav_files/telugu/b99f90cc-622c-479c-98c8-e0158bf120e0_16000.wav
47310756,b99f90cc-622c-479c-98c8-e0158bf120e0,google,sub,చేయాలి.,చేయాలి,5.6,6.0,wav_files/telugu/b99f90cc-622c-479c-98c8-e0158bf120e0_16000.wav
5283c3cb,6530894e-cebd-44f5-a173-edc01c2b1b9f,google,sub,తెగుళ్ల,తెగులు,1.7,2.6,wav_files/telugu/6530894e-cebd-44f5-a173-edc01c2b1b9f_16000.wav
b391f390,6530894e-cebd-44f5-a173-edc01c2b1b9f,google,sub,చేయాలి.,చేయాలి,3.8,4.3,wav_files/telugu/6530894e-cebd-44f5-a173-edc01c2b1b9f_16000.wav
083b9caf,dccf22f5-81fb-4b8b-a653-c43d762ccbe8,google,sub,పై,పూత,2.0,2.2,wav_files/telugu/dccf22f5-81fb-4b8b-a653-c43d762ccbe8_16000.wav
3f1e8ca7,dccf22f5-81fb-4b8b-a653-c43d762ccbe8,google,sub,ముడతకి,కి,2.2,3.1,wav_files/telugu/dccf22f5-81fb-4b8b-a653-c43d762ccbe8_16000.wav
f4c9b672,dccf22f5-81fb-4b8b-a653-c43d762ccbe8,google,del,కొట్టాలి?,,0.0,7.133,wav_files/telugu/dccf22f5-81fb-4b8b-a653-c43d762ccbe8_16000.wav
0e298d4f,dccf22f5-81fb-4b8b-a653-c43d762ccbe8,google,del,నివారణ,,0.0,7.133,wav_files/telugu/dccf22f5-81fb-4b8b-a653-c43d762ccbe8_16000.wav
d75d6827,dccf22f5-81fb-4b8b-a653-c43d762ccbe8,google,sub,చర్యలు.,వాడాలి,3.5,3.6,wav_files/telugu/dccf22f5-81fb-4b8b-a653-c43d762ccbe8_16000.wav
b144ae4a,f449a49b-7f7d-445b-b4a7-74200ab736c0,google,sub,తోడేసిన,తోడేసే,0.1,1.6,wav_files/telugu/f449a49b-7f7d-445b-b4a7-74200ab736c0_16000.wav
f552c6a1,27a681ff-9f57-47ea-ba75-e8987e9e73d6,google,del,రాకుండా,,0.0,6.494,wav_files/telugu/27a681ff-9f57-47ea-ba75-e8987e9e73d6_16000.wav
c00fd127,27a681ff-9f57-47ea-ba75-e8987e9e73d6,google,sub,ఎలా?,ఎలా,4.7,5.0,wav_files/telugu/27a681ff-9f57-47ea-ba75-e8987e9e73d6_16000.wav
b54daacf,56c474d2-62e1-49de-becf-11eef04c9f28,google,sub,చేయాలి?,చేయాలి,3.2,3.7,wav_files/telugu/56c474d2-62e1-49de-becf-11eef04c9f28_16000.wav
df0d132b,a0d73741-349a-4741-bc3d-3aed35707972,google,ins,,కి,1.8,2.0,wav_files/telugu/a0d73741-349a-4741-bc3d-3aed35707972_16000.wav
33559225,a0d73741-349a-4741-bc3d-3aed35707972,google,sub,కిసాన్,సాన్,2.0,2.1,wav_files/telugu/a0d73741-349a-4741-bc3d-3aed35707972_16000.wav
cbb2f338,a8f083b7-46dd-46da-ad7e-d061c007af09,google,sub,బుజ్జి,మిర్చి,0.0,1.1,wav_files/telugu/a8f083b7-46dd-46da-ad7e-d061c007af09_16000.wav
b9f172af,a8f083b7-46dd-46da-ad7e-d061c007af09,google,sub,అయితే,కి,1.3,1.8,wav_files/telugu/a8f083b7-46dd-46da-ad7e-d061c007af09_16000.wav
ccfe5f02,a8f083b7-46dd-46da-ad7e-d061c007af09,google,sub,మంచిది.,మరి,7.5,7.8,wav_files/telugu/a8f083b7-46dd-46da-ad7e-d061c007af09_16000.wav
11f03e02,d5d20281-7d96-466b-81f8-d4efb4369f98,google,sub,తోటకి,దూడకి,1.4,2.0,wav_files/telugu/d5d20281-7d96-466b-81f8-d4efb4369f98_16000.wav
672e06fd,d5d20281-7d96-466b-81f8-d4efb4369f98,google,sub,మందు,ముందు,2.7,3.1,wav_files/telugu/d5d20281-7d96-466b-81f8-d4efb4369f98_16000.wav
3e1a008c,d5d20281-7d96-466b-81f8-d4efb4369f98,google,sub,చేస్తుంది.,చేస్తా,5.7,6.1,wav_files/telugu/d5d20281-7d96-466b-81f8-d4efb4369f98_16000.wav
be0b2c6b,9b81e09c-98a1-435d-bc4d-f748d75bad4c,google,del,<unintelligible>దోమ,,0.0,4.753,wav_files/telugu/9b81e09c-98a1-435d-bc4d-f748d75bad4c_16000.wav
63118069,9b81e09c-98a1-435d-bc4d-f748d75bad4c,google,sub,కాటు,దోమకాటు,0.0,3.8,wav_files/telugu/9b81e09c-98a1-435d-bc4d-f748d75bad4c_16000.wav
56e3423b,9b81e09c-98a1-435d-bc4d-f748d75bad4c,google,sub,చేయాలి?,చేయాలి,4.4,4.7,wav_files/telugu/9b81e09c-98a1-435d-bc4d-f748d75bad4c_16000.wav
bdb7a0c9,29d18f65-9d95-4a25-9608-54076c3bec35,google,ins,,వరి,0.0,1.3,wav_files/telugu/29d18f65-9d95-4a25-9608-54076c3bec35_16000.wav
